order_date,year,mm,week_day,register_pre_1d,register_pre_2d,register_pre_3d,register_pre_4d,register_pre_5d,register_pre_6d,register_pre_7d,active_cnt_1d,active_cnt_2d,active_cnt_3d,active_cnt_4d,active_cnt_5d,active_cnt_6d,active_cnt_7d,orders_cnt,orders_amt,if_holiday
20170325,2017,3,6,34832,37650,36731,38545,38909,37116,32667,60804,58843,56382,59793,64164,67021,63721,11788,4013574.26,0
20170328,2017,3,2,48307,48930,42342,34832,37650,36731,38545,74304,75087,68654,60804,58843,56382,59793,8240,5148114.26,0
20170412,2017,4,3,19875,24891,37190,50162,54804,70722,104917,56570,57394,79278,93686,104872,120370,166333,6593,3863834.42,0
20170529,2017,5,5,64718,43492,34128,29516,25950,30530,35213,102321,75767,60764,52627,45308,51477,56404,30076,8538780.19,1
20170801,2017,8,2,97978,107988,100869,89251,82415,80212,83768,208057,280519,274226,185602,114142,111830,113342,20492,12611921.37,0
20170806,2017,8,0,108982,92163,83632,77891,82303,97978,107988,150452,132222,119593,113164,114532,208057,280519,28878,10944934.24,0
20170828,2017,8,1,108506,116177,106527,100739,90020,98805,112970,115627,124200,117270,109584,106783,120946,148235,17693,8173329.94,0
20170917,2017,9,0,80021,69221,55676,62721,131766,139992,131299,97456,90072,88240,91916,157427,161933,151420,11888,4278429.23,0
20171113,2017,11,1,78242,68838,53103,46501,43367,53946,65884,84527,82537,75354,72334,66611,69388,73198,5766,4150714.89,0
20171115,2017,11,3,53300,69887,78242,68838,53103,46501,43367,69580,78311,84527,82537,75354,72334,66611,7970,4060056.78,0
20171119,2017,11,0,71332,65226,57956,49538,53300,69887,78242,85762,88839,81845,73187,69580,78311,84527,9305,2632406.24,0
